;PVM;Sarjanumero;Huollon Indeksi;Sarjanumero 2;Huollon Indeksi 2;Sarjanumero 3;Huollon Indeksi 3;MAC;IP;Aliv.peite;Broadcast;Yhdyskäyt.;Lämpöpumpun tyyppi;Ohjelmaversio;Toimintataso;Toimintatila;Ulk.ohjaus ON/OFF;1. Huoneanturi;Varaaja;1. Shunttaus;Häiriö;Käyttövesi 1;Käyttövesi 2;Käyttövesi 3;Käyttövesi 4;Käyttövesi 5;LV+HP Maks;Pumpun optimointi;Kirjautuminen;Liuospaine/virtau;Kompr seuranta;Lämm.käyrän säätö;1. Shuntin säätö;Valun kuivaus;Sähköinen anodi;Lämmitysrajat;Monipumpputoimint;Etähallinta;Pumpun optimointi ( min);Desinfiointihäiriö;Lämmönlähde;Lisälämpöraja;Lisälämpö käyttövesi;Lisäkäyttövesi jakso;Sähkövastuksen teho;SG Ready;1. Shuntin säätö;Paluurajoitus (°C);Hystereesi: Lämmitys;Hystereesi: Lämm maks;Lisälämpöraja;Desinfiointi LT (°C);Hystereesi:Käyttövesi;Min Liuos LT (°C);Kuumakaasuraja (°C);Yöpudotus pois ulkoLT;Maks menovesi (°C);Min. lämmönlähdeLT;Virtauksen rajoitus (°C);Käyttöveden max. LT;Minimi järjestelmäLT;Teho: lämmitys (nim);Teho: Lämmitys (min);Teho: Käyttövesi;Teho: Liuospumppu ( %);Lisälämpö 1;Tyyppi;Toiminto;Positio;Ulostulo;Lisälämpö 2;Tyyppi;Toiminto;Positio;Ulostulo;Lisäajat VBO;Lisäajat ZUP;Lämmin käyttövesi;Lämmitys;Lämmitys;Lämmin käyttövesi;Lämmönsäätökäyrä Lämmitys;Lämmönsäätökäyrä 1. Shunttaus;1.Komp käyntiaika;1.Komp käynnistykset;Keskim. käyntiaika;Käyntiaika: 1.Lisäl ;Käyntiaika: Kompres;Käyntiaika: Lämmitys;Käyntiaika: Lämminv;Meno (°C);Paluu (°C);Paluu asetus (°C);Kuumakaasu (°C);Ulkolämpötila;Käyttövesi;Käyttövesi asetus;Liuos sisään;Liuos ulos (°C);1. Shunttaus meno (°C);1. Shunttaus asetus (°C);Maks menovesi (°C);Imu kompressorille (°C);Tulistus ( K);Tulistuksen asetus ( K);Matalapaine;Korkeapaine;Imu kompressorille;Imukaasu;Meno;Paluu;Liuos sisään;Liuos ulos;Kompr. lämmitys;Kuumakaasu
9.4.2016 19:39;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;Lämminvesi;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;499h;1250;00:23;10h;499h;480h;18h;46.4°C;41.2°C;36.4°C;78.3°C;4.1°C;43.5°C;50.0°C;4.2°C;0.7°C;33.3°C;33.4°C;64.0°C;5.4°C;6.9 K;6.7 K;0;80;0;0;0;0;0;0;0;0
16.4.2016 19:50;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;546h;1374;00:23;10h;546h;525h;19h;33.6°C;33.5°C;32.8°C;34.7°C;8.6°C;47.6°C;50.0°C;7.5°C;7.1°C;31.2°C;31.2°C;64.0°C;34.3°C;26.2 K;6.1 K;0;80;0;0;0;0;0;0;0;0
24.4.2016 13:50;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;597h;1511;00:23;11h;597h;572h;23h;39.2°C;39.1°C;34.5°C;67.9°C;6.6°C;48.3°C;50.0°C;4.1°C;4.5°C;32.4°C;32.2°C;64.0°C;17.5°C;12.5 K;6.3 K;0;80;0;0;0;0;0;0;0;0
28.4.2016 18:7;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;627h;1586;00:23;11h;627h;600h;24h;30.6°C;30.5°C;31.9°C;33.5°C;9.6°C;48.8°C;50.0°C;9.4°C;8.3°C;30.5°C;30.7°C;64.0°C;33.0°C;23.2 K;6.1 K;0;80;0;0;0;0;0;0;0;0
13.5.2016 7:36;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;669h;1715;00:23;11h;669h;637h;29h;37.3°C;37.2°C;33.2°C;38.5°C;8.1°C;50.4°C;50.0°C;7.8°C;7.5°C;31.5°C;31.5°C;64.0°C;37.2°C;28.7 K;6.2 K;0;80;0;0;0;0;0;0;0;0
20.5.2016 8:6;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;Lämminvesi;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;684h;1767;00:23;12h;684h;650h;32h;54.6°C;49.8°C;32.0°C;81.9°C;8.5°C;47.5°C;50.0°C;6.4°C;3.4°C;29.8°C;30.5°C;64.0°C;6.1°C;5.1 K;6.7 K;0;80;0;0;0;0;0;0;0;0
22.5.2016 14:36;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;686h;1775;00:23;12h;686h;651h;33h;22.5°C;22.5°C;20.9°C;28.1°C;18.5°C;47.9°C;50.0°C;24.5°C;23.5°C;22.9°C;24.0°C;64.0°C;28.0°C;5.6 K;6.0 K;0;80;0;0;0;0;0;0;0;0
28.5.2016 11:35;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;692h;1796;00:23;12h;692h;655h;35h;24.6°C;24.6°C;26.3°C;29.5°C;14.1°C;48.1°C;50.0°C;21.3°C;18.8°C;24.8°C;27.2°C;64.0°C;29.3°C;10.5 K;6.0 K;0;80;0;0;0;0;0;0;0;0
5.6.2016 15:49;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;700h;1822;00:23;12h;700h;659h;38h;32.9°C;33.5°C;29.6°C;59.3°C;10.9°C;48.4°C;50.0°C;6.0°C;6.5°C;29.9°C;29.1°C;64.0°C;24.1°C;15.5 K;6.0 K;0;80;0;0;0;0;0;0;0;0
26.6.2016 21:41;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;724h;1907;00:22;13h;724h;675h;46h;25.4°C;25.4°C;15.4°C;34.2°C;22.1°C;50.2°C;50.0°C;19.3°C;16.9°C;21.4°C;20.9°C;64.0°C;33.6°C;16.4 K;6.0 K;0;80;0;0;0;0;0;0;0;0
7.7.2016 19:32;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;725h;1913;00:22;18h;725h;675h;47h;26.0°C;26.0°C;26.9°C;22.1°C;13.6°C;47.7°C;50.0°C;22.0°C;20.5°C;26.2°C;27.6°C;64.0°C;22.8°C;3.5 K;6.0 K;0;80;0;0;0;0;0;0;0;0
11.7.2016 12:54;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;725h;1913;00:22;20h;725h;675h;47h;22.9°C;22.9°C;21.3°C;22.1°C;18.2°C;48.3°C;50.0°C;22.0°C;21.6°C;23.1°C;24.3°C;64.0°C;22.8°C;1.7 K;6.0 K;0;80;0;0;0;0;0;0;0;0
6.8.2016 0:25;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;738h;1956;00:22;26h;738h;678h;56h;22.6°C;22.6°C;21.2°C;29.0°C;17.2°C;48.1°C;50.0°C;24.6°C;23.0°C;22.8°C;25.1°C;64.0°C;28.7°C;6.5 K;6.0 K;0;80;0;0;0;0;0;0;0;0
9.8.2016 18:33;251104-070;a;000000-000;a;000000-000;a;40-ec-f8-05-42-2c;10.100.10.200;255.255.255.0;10.100.10.255;10.100.10.1;MSW8;V3.78;1;;Ei lisäläm;Ei;Puskuri;Purku;Lisäläm ok;Anturi;LVK päällä;ZUP käytös;Asetusarvo;HUP käytös;0.0 h;Ei;Huolto;Vaihevahti;Pois;UlkoLT;UlkoLT;Shuntattu;Ei;Ei;Ei;Kyllä;180 min;Ei;Liuos;60 min;Ei;5.0 h;9.0 KW;Ei;nopea;56.0°C;4.0 K;3.0 K;-16.0°C;60.0°C;5.0 K;-9.0°C;120.0°C;-20.0°C;64.0°C;0.0°C;64.0°C;58.0°C;15.0°C;55 %;55 %;70 %;100 %;;Sähkö;Lämm + LV;Integroitu;Out 6;;Ei;Ei;---;---;1 min;0 s;1;2;1;1;49.0C;38.5C;740h;1964;00:22;26h;740h;679h;58h;22.4°C;22.4°C;23.0°C;28.0°C;17.0°C;47.9°C;50.0°C;24.5°C;23.3°C;22.7°C;25.3°C;64.0°C;27.8°C;5.6 K;6.0 K;0;80;0;0;0;0;0;0;0;0
